"id","img","description","created_at","title"
1,services/images/платная_услуга1.jpg,"Предоставление паяльной мастерской (площадь 30,6 кв. м, 4 рабочих места) - 500 руб/час",2025-12-07 15:41:45.552 +0700,Паяльная
2,services/images/Платная_услуга2.jpg,"Предоставление конференц-зала (площадь 46,0 кв. м) 
Вместимость 35-40 человек. Оснащение: проектор, экран, ноутбук.
- 500 руб/час",2025-12-07 15:42:28.643 +0700,Конференц-зал
3,services/images/Платная_услуга3.jpg,"Предоставление фотостудии (площадь 48,0 кв. м) 
- 500 руб/час",2025-12-07 15:42:56.359 +0700,Фотостудия
4,services/images/Платная_услуга4.jpg,Услуга по организации площадки виртуальной реальности  - 2000 руб/час,2025-12-07 15:44:21.480 +0700,Виртуальная реальность
5,"",Предоставление фотокамеры (для использования фотостудии) - 100 руб/час,2025-12-07 15:53:35.488 +0700,Фотокамера
6,"",Аренда звукового оборудования - 236 руб/час,2025-12-07 15:53:51.278 +0700,Звук
7,"",Проведения мастер-класса по основам работы в различных сферах ИТ - 250 руб/час,2025-12-07 15:54:12.707 +0700,РаботаIT
8,"",Проведения прямого эфира и видеотрансляции в сеть интернет в режиме реального времени - 1500 руб/час,2025-12-07 15:54:33.247 +0700,Прямой эфир
9,"",Проведение видеосъёмки  - 1000 руб/час,2025-12-07 15:54:51.408 +0700,Видеосъемка
10,"",Проведение фотосъёмки  - 1000 руб/час,2025-12-07 15:55:01.780 +0700,Фотосъемка
